,Assessor,weighted av. score,VJ deviation,NU deviation,DF deviation,GT deviation,JR deviation,OA deviation,AV deviation,CJ deviation,DT deviation,JO deviation,JH deviation,SU deviation,GDD deviation,PP deviation,OU deviation,MiM deviation,AR deviation,VP deviation,LdB deviation,EM deviation
0,z_assessor_1000,0.7191043083900227,-0.7191043083900227,0.2808956916099773,-0.7191043083900227,2.2808956916099774,-0.2191043083900227,-0.2191043083900227,-0.2191043083900227,-0.7191043083900227,-0.8055555555555556,0.2808956916099773,0.2808956916099773,0.2808956916099773,-0.2191043083900227,-0.7191043083900227,0.2808956916099773,-0.2191043083900227,-0.7191043083900227,-0.6326530612244898,-0.2191043083900227,-0.7191043083900227
1,z_assessor_1001,0.8333333333333334,0.16666666666666663,0.16666666666666663,-0.8333333333333334,2.1666666666666665,0.16666666666666663,-0.8333333333333334,0.16666666666666663,-0.8333333333333334,,0.16666666666666663,0.16666666666666663,-0.8333333333333334,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,-0.8333333333333334,-0.8333333333333334,-0.8333333333333334,0.16666666666666663
2,z_assessor_1002,0.6222222222222222,-0.6222222222222222,0.37777777777777777,-0.6222222222222222,0.37777777777777777,0.37777777777777777,-0.6222222222222222,-0.6222222222222222,-0.6222222222222222,-0.6222222222222222,0.37777777777777777,0.37777777777777777,0.37777777777777777,-0.6222222222222222,,0.37777777777777777,0.37777777777777777,-0.6222222222222222,0.37777777777777777,,-0.6222222222222222
3,z_assessor_1003,2.012127512127512,0.987872487872488,-1.012127512127512,-1.512127512127512,0.987872487872488,0.987872487872488,-1.512127512127512,-0.012127512127511952,-0.012127512127511952,-0.012127512127511952,0.987872487872488,-1.012127512127512,0.987872487872488,-1.012127512127512,0.9487179487179489,,-2.012127512127512,-1.512127512127512,,-1.012127512127512,0.987872487872488
4,z_assessor_1005,0.6841491841491841,-0.6841491841491841,-0.6841491841491841,-0.6841491841491841,2.3158508158508155,-0.18414918414918413,0.31585081585081587,0.31585081585081587,-0.6841491841491841,-0.641025641025641,0.31585081585081587,-0.18414918414918413,0.31585081585081587,0.31585081585081587,0.2727272727272727,0.31585081585081587,-0.6841491841491841,-0.6841491841491841,,-0.18414918414918413,-0.6841491841491841
5,z_assessor_1007,0.5263157894736842,-0.5263157894736842,-0.5263157894736842,-0.5263157894736842,2.473684210526316,-0.5263157894736842,0.4736842105263158,0.4736842105263158,-0.5263157894736842,-0.5263157894736842,0.4736842105263158,-0.5263157894736842,-0.5263157894736842,-0.5263157894736842,,0.4736842105263158,-0.5263157894736842,-0.5263157894736842,,-0.5263157894736842,-0.5263157894736842
6,z_assessor_1008,1.75,-0.75,-0.75,-0.75,1.25,1.25,1.25,1.25,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,,,-0.75,-1.75,,-0.75,-0.75
7,z_assessor_1010,0.25291060573165436,-0.25291060573165436,-0.25291060573165436,-0.25291060573165436,2.247089394268346,-0.25291060573165436,0.7252858590244609,-0.2733843537414966,-0.25291060573165436,-0.27471414097553915,-0.0029106057316543588,-0.25291060573165436,-0.25291060573165436,-0.25291060573165436,-0.3163265306122449,-0.0029106057316543588,-0.25291060573165436,-0.25291060573165436,,-0.0029106057316543726,-0.25291060573165436
8,z_assessor_1011,0.987441857844578,-0.987441857844578,-0.062068723516219886,-0.15162096232219005,0.5498715749912427,-0.8531134996356229,-0.25609857426248855,0.47190520228030647,1.3259909779763175,0.9305198341062503,0.10211038096139206,-0.03221797724756317,-0.3904269324714438,-0.897889619038608,1.5699928121927123,0.249773038525036,-0.9725164847102497,,,-0.37681559487186606,1.6923076923076923
9,z_assessor_1012,0.5483870967741935,-0.5483870967741935,0.4516129032258065,-0.5483870967741935,2.4516129032258065,-0.5483870967741935,0.4516129032258065,0.4516129032258065,-0.5483870967741935,-0.5483870967741935,-0.5483870967741935,-0.5483870967741935,0.4516129032258065,-0.5483870967741935,-0.5483870967741935,0.4516129032258065,-0.5483870967741935,-0.5483870967741935,,,
